month,housing_observation_kind,moscow_secondary_rub_m2,spb_secondary_rub_m2,moscow_primary_rub_m2,spb_primary_rub_m2,new_york_housing_index,london_housing_gbp,paris_secondary_eur_m2,vienna_housing_index,hong_kong_housing_index,usd_rub,eur_rub,gbp_rub,jpy_rub,hkd_rub,sp500_close,imoex_close,nasdaq100_close,russell2000_close,dowjones_close,rtsi_close,dax_price_close,nikkei225_close,gold_usd_oz
2000-01,backfilled,15034.81,9659.76,16023.8,10477.87,129.33,140000.0,2740.0,100.3,97.5,28.55,28.23,46.7,0.2722,3.704433,1394.459961,188.81,3570.050049,496.230011,10940.530273,172.3086,5314.07,19539.699219,283.3
2000-02,backfilled,15034.81,9659.76,16023.8,10477.87,129.33,142000.0,2740.0,100.3,97.5,28.66,27.44,45.64,0.2627,3.63011,1366.420044,191.49,4266.939941,577.710022,10128.30957,170.9301,5939.29,19959.519531,293.65
2000-03,reported,15034.81,9659.76,16023.8,10477.87,129.33,144000.0,2740.0,100.3,95.3,28.46,27.13,45.34,0.2696,3.648614,1498.579956,254.68,4397.839844,539.090027,10921.919922,231.877,5904.71,20337.320312,276.75
2000-04,interpolated,14944.97,9644.84,15920.85,10576.0,130.993333,151000.0,2773.33,100.233333,93.9,28.4,25.89,44.64,0.2669,3.663195,1452.430054,242.85,3773.179932,506.25,10733.910156,226.8656,5739.4,17973.699219,275.05
2000-05,interpolated,14855.14,9629.92,15817.91,10674.14,132.656667,151000.0,2806.67,100.166667,90.3,28.25,26.19,42.19,0.2644,3.616304,1420.599976,217.05,3324.080078,476.179993,10522.330078,190.2074,5475.93,16332.450195,272.25
2000-06,reported,14765.3,9615.0,15714.96,10772.27,134.32,154000.0,2840.0,100.1,86.0,28.07,26.48,42.44,0.267,3.556463,1454.599976,194.93,3763.790039,517.22998,10447.889648,171.3954,5300.34,17411.050781,288.15
2000-07,interpolated,14781.09,9661.97,15823.39,10814.16,135.753333,157000.0,2870.0,100.133333,86.6,27.8,25.92,42.04,0.2557,3.592267,1430.829956,200.22,3609.350098,500.640015,10521.980469,194.0904,5519.15,15727.490234,276.75
2000-08,interpolated,14796.89,9708.95,15931.81,10856.04,137.186667,158000.0,2900.0,100.166667,87.2,27.75,24.74,40.25,0.2615,3.560224,1517.680054,239.03,4077.590088,537.890015,11215.099609,239.9919,5539.47,16861.259766,277.0
2000-09,reported,14812.68,9755.92,16040.24,10897.93,138.62,158000.0,2930.0,100.2,88.2,27.75,24.42,40.61,0.2575,3.575298,1436.51001,204.61,3570.610107,521.369995,10650.919922,199.0773,5218.27,15747.259766,273.65
2000-10,interpolated,15013.12,9852.57,16120.4,10993.88,139.686667,156000.0,2940.0,99.933333,87.0,27.83,23.42,40.45,0.2563,3.56762,1429.400024,192.22,3282.300049,497.679993,10971.139648,188.9985,5432.67,14539.599609,264.5
2000-11,interpolated,15213.55,9949.21,16200.57,11089.82,140.753333,158000.0,2950.0,99.666667,83.7,27.85,23.88,39.49,0.253,3.525608,1314.949951,149.84,2506.540039,445.940002,10414.490234,143.4181,4888.22,14648.509766,269.1
2000-12,reported,15413.99,10045.86,16280.73,11185.77,141.82,158000.0,2960.0,99.4,81.8,28.16,26.14,42.01,0.2455,3.601642,1320.280029,144.39,2341.699951,483.529999,10787.990234,143.2926,4934.85,13785.69043,274.45
2001-01,interpolated,16242.28,10173.24,17508.11,11457.41,142.8,160000.0,2986.67,99.066667,80.7,28.37,26.0,41.37,0.2432,3.587345,1366.01001,167.74,2593.0,508.339996,10887.360352,173.5274,5212.04,13843.549805,264.5
2001-02,interpolated,17070.58,10300.63,18735.5,11729.06,143.78,160000.0,3013.33,98.733333,80.2,28.72,26.22,41.54,0.2475,3.634952,1239.939941,158.1,1908.319946,474.369995,10495.280273,164.762,4757.29,12883.540039,266.7
2001-03,reported,17898.87,10428.01,19962.88,12000.7,144.76,162000.0,3040.0,98.4,82.1,28.74,25.29,41.05,0.2308,3.671496,1160.329956,166.67,1573.25,450.529999,9878.780273,169.4619,4465.23,12999.700195,257.7
2001-04,interpolated,18029.6,10535.91,20132.89,12104.67,146.79,164000.0,3053.33,98.433333,82.2,28.83,25.67,41.49,0.2325,3.708305,1249.459961,178.29,1855.150024,485.320007,10734.969727,180.6806,4769.96,13934.320312,263.15
2001-05,interpolated,18160.33,10643.82,20302.89,12208.63,148.82,168000.0,3066.67,98.466667,80.5,29.09,24.87,41.31,0.2419,3.760092,1255.819946,207.71,1799.890015,496.5,10911.94043,208.7959,4627.06,13262.139648,267.5
2001-06,reported,18291.06,10751.72,20472.9,12312.6,150.85,170000.0,3080.0,98.5,80.9,29.07,24.57,40.94,0.2344,3.714679,1224.380005,219.4,1830.189941,512.640015,10502.400391,216.11,4567.89,12969.049805,270.6
2001-07,interpolated,18543.62,10810.82,20724.12,12365.84,153.17,172000.0,3123.33,97.8,80.2,29.27,25.6,41.65,0.2347,3.748938,1211.22998,200.64,1683.609985,484.779999,10522.80957,196.12,4415.91,11860.769531,265.9
2001-08,interpolated,18796.18,10869.91,20975.34,12419.07,155.49,176000.0,3166.67,97.1,78.5,29.37,26.67,42.55,0.245,3.733725,1133.579956,193.72,1469.699951,468.559998,9949.75,205.41,3908.38,10713.509766,273.0
2001-09,reported,19048.74,10929.01,21226.56,12472.31,157.81,176000.0,3210.0,96.4,77.2,29.39,26.86,43.26,0.2466,3.771571,1040.939941,167.33,1168.369995,404.869995,8847.55957,180.25,3245.65,9774.679688,293.1
2001-10,interpolated,19475.45,11097.94,21452.93,12735.93,158.73,178000.0,3213.33,95.266667,74.1,29.7,26.87,43.22,0.2437,3.809834,1059.780029,187.41,1364.780029,428.170013,9075.139648,204.04,3434.73,10366.339844,278.75
2001-11,interpolated,19902.16,11266.88,21679.29,12999.54,159.65,179000.0,3216.67,94.133333,73.6,29.9,26.52,42.62,0.2432,3.821601,1139.449951,213.32,1596.050049,460.779999,9851.55957,226.49,3759.27,10697.44043,275.5
