KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-03,7.8624
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-04,8.0201
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-05,8.0629
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-06,8.0843
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-07,8.003
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-10,7.9471
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-11,7.9784
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-12,8.0128
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-13,7.9976
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-14,7.9547
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-17,7.8637
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-18,7.8494
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-19,7.8633
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-20,7.8493
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-21,7.8552
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-24,7.8113
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-25,7.7894
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-26,7.798
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-27,7.7513
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-28,7.6607
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-01-31,7.6206
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-01,7.5531
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-02,7.5634
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-03,7.584
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-04,7.6623
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-07,7.606
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-08,7.7062
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-09,7.7171
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-10,7.6782
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-11,7.6271
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-14,7.6736
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-15,7.6077
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-16,7.6265
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-17,7.7237
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-18,7.6772
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-21,7.6758
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-22,7.7996
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-23,7.821
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-24,7.7145
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-25,7.6394
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-28,7.4942
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-02-29,7.559
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-03-01,7.5211
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-03-02,7.5697
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-03-03,7.517
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-03-06,7.5089
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-03-07,7.4673
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-03-08,7.4258
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-03-09,7.4843
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-03-10,7.4788
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-03-13,7.5557
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-03-14,7.487
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-03-15,7.5088
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-03-16,7.5372
EXR.D.HKD.EUR.SP00.A,D,HKD,EUR,SP00,A,2000-03-17,7.528
